age,height,weight,40_yard,vertical,broad_jump,combine_invite,has_college_stats,age_estimated,conference_tier,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std
23.0,76.0,321.0,5.24,30.0,107.0,1,1,0,3,4.263736007744004,6,1,85.15494644224368,28.1,43.5,14.6,49.0,5.0,0.0,-0.5685771052367812,0.5318825335442634,-0.0183472858462588,3,0.5263157894736842,4.724137931034483,1.7091466484798348
23.0,,,,,,0,1,0,3,,0,0,,20.7,35.7,16.0,6.0,5.0,0.0,,,,8,1.4035087719298245,3.631578947368421,1.9785478244406585
23.0,75.0,306.0,5.23,26.0,98.0,1,0,0,2,2.455978106669252,6,1,81.7983732255793,3.7,35.9,33.5,123.0,5.0,0.0,-1.247388547203139,-0.717721009119975,-0.982554778161557,3,0.5263157894736842,4.724137931034483,1.7091466484798348
23.0,,,,,,0,0,0,3,,0,0,,-4.3,29.6,35.4,52.0,5.0,0.0,,,,8,1.4035087719298245,3.631578947368421,1.9785478244406585
23.0,77.0,310.0,,,,1,0,0,2,5.958123604043403,1,0,,-3.2,29.9,33.0,127.0,5.0,0.0,0.1102343367295766,-0.3844933977428448,-0.137129530506634,3,0.5357142857142857,4.3125,1.8874586088176872
23.0,78.0,329.0,,,,1,0,0,1,,0,0,,10.5,31.6,22.2,24.0,5.0,0.0,0.7890457786959345,1.198337756298524,0.9936917674972292,8,1.2307692307692308,5.0,2.273030282830976
23.0,,,,,,0,1,0,3,,0,0,,4.9,28.2,25.4,8.0,5.0,0.0,,,,1,0.0714285714285714,6.25,0.5
24.0,76.0,308.0,5.26,33.0,105.0,1,0,0,3,3.187152467121619,6,1,80.47069191341392,2.0,29.4,28.6,65.0,5.0,0.0,-0.5685771052367812,-0.55110720343141,-0.5598421543340956,8,1.4035087719298245,3.631578947368421,1.9785478244406585
22.0,75.0,309.0,5.34,32.0,108.0,1,1,0,1,3.8878615096407625,5,1,76.00172455616494,2.0,16.6,16.6,117.0,5.0,0.0,-1.247388547203139,-0.4678003005871273,-0.8575944238951332,3,0.5263157894736842,4.3125,1.8874586088176872
23.0,,,,,,0,0,0,2,,0,0,,9.6,36.7,28.3,105.0,5.0,0.0,,,,3,0.5263157894736842,4.724137931034483,1.7091466484798348
22.0,,,,,,0,0,0,1,,0,0,,,,,,5.0,0.0,,,,3,0.5263157894736842,4.724137931034483,1.7091466484798348
